,s,t,syn,phon,morph,lex,LM,S_s,S_t
1,ara,ben,0.2962962962962963,0.6153846153846154,0.1111111111111111,0.013625399579372593,0.09470304975922954,0.015072094072265169,0.06260032102728733
2,ara,eng,0.42105263157894735,0.6,0.02564102564102564,0.0,0.10596503427038839,0.015072094072265169,0.5582099930465879
3,ara,fin,0.43859649122807015,0.6,0.07692307692307693,0.0,0.11329854711697264,0.015072094072265169,0.11873189880083296
4,ara,ind,0.47058823529411764,0.6,0.02564102564102564,0.010319665286124633,0.07804499862710577,0.015072094072265169,0.5708332660345969
5,ara,kor,0.2711864406779661,0.4,0.05714285714285714,0.0,0.2486693238927537,0.015072094072265169,0.7490406753645433
6,ara,rus,0.48148148148148145,0.6923076923076923,0.05263157894736842,0.0,0.10969137295635965,0.015072094072265169,0.03545867186499523
7,ara,swh,0.5581395348837209,0.5,0.02702702702702703,0.0,0.15867356034943841,0.015072094072265169,0.050454626493136034
8,ara,tel,0.2682926829268293,0.6153846153846154,0.2,0.0,0.04504950495049505,0.015072094072265169,0.08292079207920793
9,ben,ara,0.2962962962962963,0.6153846153846154,0.1111111111111111,0.013625399579372593,0.11090199250283865,0.24191699151570742,0.11130640369569614
11,ben,eng,0.2631578947368421,0.8,0.02564102564102564,0.013625399579372593,0.10596503427038839,0.24191699151570742,0.05725389887752061
12,ben,fin,0.3684210526315789,0.8,0.05128205128205128,0.013625399579372593,0.11329854711697264,0.24191699151570742,0.05345987218459034
13,ben,ind,0.2631578947368421,0.8888888888888888,0.02564102564102564,0.019009337720854343,0.07804499862710577,0.24191699151570742,0.058210715035614494
14,ben,kor,0.6470588235294118,0.6666666666666666,0.08823529411764706,0.013625399579372593,0.2486693238927537,0.24191699151570742,0.0488822320699131
15,ben,rus,0.35,0.8888888888888888,0.02631578947368421,0.013625399579372593,0.10969137295635965,0.24191699151570742,0.10929296091293274
16,ben,swh,0.25,0.7,0.02702702702702703,0.02053937704129774,0.15867356034943841,0.24191699151570742,0.15403815296844356
17,ben,tel,0.46153846153846156,1.0,0.16666666666666666,0.02053937704129774,0.04504950495049505,0.24191699151570742,0.054455445544554455
18,eng,ara,0.42105263157894735,0.6,0.02564102564102564,0.0,0.11090199250283865,0.620020860236416,0.12135446641053958
19,eng,ben,0.2631578947368421,0.8,0.02564102564102564,0.013625399579372593,0.09470304975922954,0.620020860236416,0.06947947718413208
21,eng,fin,0.5952380952380952,0.8333333333333334,0.5128205128205128,0.0,0.11329854711697264,0.620020860236416,0.1224658321166136
22,eng,ind,0.5641025641025641,0.8333333333333334,0.3333333333333333,0.010319665286124633,0.07804499862710577,0.620020860236416,0.5556183677095279
23,eng,kor,0.4523809523809524,0.5833333333333334,0.3333333333333333,0.0,0.2486693238927537,0.620020860236416,0.7190602332087243
24,eng,rus,0.7027027027027027,0.8181818181818182,0.5384615384615384,0.0,0.10969137295635965,0.620020860236416,0.03920089927289802
25,eng,swh,0.26666666666666666,0.8333333333333334,0.4358974358974359,0.0,0.15867356034943841,0.620020860236416,0.04849349260117668
26,eng,tel,0.3333333333333333,0.8,0.1282051282051282,0.0,0.04504950495049505,0.620020860236416,0.07586633663366336
27,fin,ara,0.43859649122807015,0.6,0.07692307692307693,0.0,0.11090199250283865,0.6673807415208598,0.399153847350329
28,fin,ben,0.3684210526315789,0.8,0.05128205128205128,0.013625399579372593,0.09470304975922954,0.6673807415208598,0.09057555606512267
29,fin,eng,0.5952380952380952,0.8333333333333334,0.5128205128205128,0.0,0.10596503427038839,0.6673807415208598,0.03900119201350949
31,fin,ind,0.4878048780487805,0.8333333333333334,0.3076923076923077,0.010319665286124633,0.07804499862710577,0.6673807415208598,0.030736678888117198
32,fin,kor,0.5365853658536586,0.5833333333333334,0.3333333333333333,0.0,0.2486693238927537,0.6673807415208598,0.04900601589384299
33,fin,rus,0.7297297297297297,0.8181818181818182,0.5897435897435898,0.0,0.10969137295635965,0.6673807415208598,0.5480299947352695
34,fin,swh,0.26666666666666666,0.6923076923076923,0.38461538461538464,0.0,0.15867356034943841,0.6673807415208598,0.15653414155821002
35,fin,tel,0.4666666666666667,0.8,0.20512820512820512,0.0,0.04504950495049505,0.6673807415208598,0.7027227722772277
36,ind,ara,0.47058823529411764,0.6,0.02564102564102564,0.010319665286124633,0.11090199250283865,0.1138210068967745,0.5076138184193744
37,ind,ben,0.2631578947368421,0.8888888888888888,0.02564102564102564,0.019009337720854343,0.09470304975922954,0.1138210068967745,0.04563173584040358
38,ind,eng,0.5641025641025641,0.8333333333333334,0.3333333333333333,0.010319665286124633,0.10596503427038839,0.1138210068967745,0.20330038740439058
39,ind,fin,0.4878048780487805,0.8333333333333334,0.3076923076923077,0.010319665286124633,0.11329854711697264,0.1138210068967745,0.7081069436798392
41,ind,kor,0.3181818181818182,0.5833333333333334,0.23076923076923078,0.010319665286124633,0.2486693238927537,0.1138210068967745,0.05569034238605699
42,ind,rus,0.5,0.8181818181818182,0.23076923076923078,0.010319665286124633,0.10969137295635965,0.1138210068967745,0.5450419044095676
43,ind,swh,0.3684210526315789,0.8333333333333334,0.358974358974359,0.014510604362346158,0.15867356034943841,0.1138210068967745,0.23301836334462472
44,ind,tel,0.21212121212121213,0.8888888888888888,0.1282051282051282,0.014510604362346158,0.04504950495049505,0.1138210068967745,0.6778465346534653
45,kor,ara,0.2711864406779661,0.4,0.05714285714285714,0.0,0.11090199250283865,0.04105909439754413,0.4193744069932028
46,kor,ben,0.6470588235294118,0.6666666666666666,0.08823529411764706,0.013625399579372593,0.09470304975922954,0.04105909439754413,0.08874111442329741
47,kor,eng,0.4523809523809524,0.5833333333333334,0.3333333333333333,0.0,0.10596503427038839,0.04105909439754413,0.032445117711334064
48,kor,fin,0.5365853658536586,0.5833333333333334,0.3333333333333333,0.0,0.11329854711697264,0.04105909439754413,0.6655616458029153
49,kor,ind,0.3181818181818182,0.5833333333333334,0.23076923076923078,0.010319665286124633,0.07804499862710577,0.04105909439754413,0.03600213202396912
51,kor,rus,0.5238095238095238,0.5454545454545454,0.47368421052631576,0.0,0.10969137295635965,0.04105909439754413,0.5678794518988602
52,kor,swh,0.11764705882352941,0.46153846153846156,0.2631578947368421,0.0,0.15867356034943841,0.04105909439754413,0.1492244606881797
53,kor,tel,0.72,0.6666666666666666,0.17142857142857143,0.0,0.04504950495049505,0.04105909439754413,0.7094059405940594
54,rus,ara,0.48148148148148145,0.6923076923076923,0.05263157894736842,0.0,0.11090199250283865,0.08979922878811594,0.042634272293167005
55,rus,ben,0.35,0.8888888888888888,0.02631578947368421,0.013625399579372593,0.09470304975922954,0.08979922878811594,0.4666360926393029
56,rus,eng,0.7027027027027027,0.8181818181818182,0.5384615384615384,0.0,0.10596503427038839,0.08979922878811594,0.5296140856263037
57,rus,fin,0.7297297297297297,0.8181818181818182,0.5897435897435898,0.0,0.11329854711697264,0.08979922878811594,0.027848919313530722
58,rus,ind,0.5,0.8181818181818182,0.23076923076923078,0.010319665286124633,0.07804499862710577,0.08979922878811594,0.42537108523250367
59,rus,kor,0.5238095238095238,0.5454545454545454,0.47368421052631576,0.0,0.2486693238927537,0.08979922878811594,0.6341321516104276
61,rus,swh,0.3111111111111111,0.6666666666666666,0.42105263157894735,0.0,0.15867356034943841,0.08979922878811594,0.12301658049563202
62,rus,tel,0.3548387096774194,0.8888888888888888,0.10256410256410256,0.0,0.04504950495049505,0.08979922878811594,0.02858910891089109
63,swh,ara,0.5581395348837209,0.5,0.02702702702702703,0.0,0.11090199250283865,0.16455696202531644,0.33031061890466784
64,swh,ben,0.25,0.7,0.02702702702702703,0.02053937704129774,0.09470304975922954,0.16455696202531644,0.13620729190552625
65,swh,eng,0.26666666666666666,0.8333333333333334,0.4358974358974359,0.0,0.10596503427038839,0.16455696202531644,0.061848117611999605
66,swh,fin,0.26666666666666666,0.6923076923076923,0.38461538461538464,0.0,0.11329854711697264,0.16455696202531644,0.6128078699825271
67,swh,ind,0.3684210526315789,0.8333333333333334,0.358974358974359,0.014510604362346158,0.07804499862710577,0.16455696202531644,0.0375688466073361
68,swh,kor,0.11764705882352941,0.46153846153846156,0.2631578947368421,0.0,0.2486693238927537,0.16455696202531644,0.055566558562127104
69,swh,rus,0.3111111111111111,0.6666666666666666,0.42105263157894735,0.0,0.10969137295635965,0.16455696202531644,0.5008608545938331
71,swh,tel,0.12903225806451613,0.7,0.07894736842105263,0.0,0.04504950495049505,0.16455696202531644,0.6306930693069307
72,tel,ara,0.2682926829268293,0.6153846153846154,0.2,0.0,0.11090199250283865,0.042450495049504954,0.142710488248744
73,tel,ben,0.46153846153846156,1.0,0.16666666666666666,0.02053937704129774,0.09470304975922954,0.042450495049504954,0.09584957578537033
74,tel,eng,0.3333333333333333,0.8,0.1282051282051282,0.0,0.10596503427038839,0.042450495049504954,0.5075618357008046
75,tel,fin,0.4666666666666667,0.8,0.20512820512820512,0.0,0.11329854711697264,0.042450495049504954,0.06658847746475502
76,tel,ind,0.21212121212121213,0.8888888888888888,0.1282051282051282,0.014510604362346158,0.07804499862710577,0.042450495049504954,0.4510199796488621
77,tel,kor,0.72,0.6666666666666666,0.17142857142857143,0.0,0.2486693238927537,0.042450495049504954,0.6729136236476617
78,tel,rus,0.3548387096774194,0.8888888888888888,0.10256410256410256,0.0,0.10969137295635965,0.042450495049504954,0.05024260447644389
79,tel,swh,0.12903225806451613,0.7,0.07894736842105263,0.0,0.15867356034943841,0.042450495049504954,0.0631128543412373
